observation_id,species_name,common_name,date_observed,location,image_url,notes,observer
OBS0052,Axis axis,Chital Deer,2025-05-05,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Rare sighting for this time of year.,Hina
OBS0053,Herpestes edwardsii,Indian Grey Mongoose,2025-05-02,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,Observed feeding near water source.,Kashif
OBS0054,Strix aluco,Tawny Owl,2025-05-11,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/2/2d/Tawny_Owl.jpg,Rare sighting for this time of year.,Nida
OBS0055,Phoenicurus ochruros,Black Redstart,2025-05-10,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,Frequent visitor to the area.,Usman
OBS0056,Psittacula krameri,Rose-ringed Parakeet,2025-05-14,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/1f/Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg,Seen basking in sun near rocks.,Sana
OBS0057,Hystrix indica,Indian Crested Porcupine,2025-05-10,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Spotted during early morning hike.,Tariq
OBS0058,Francolinus pondicerianus,Grey Francolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,Observed feeding near water source.,Nadia
OBS0059,Felis chaus,Jungle Cat,2025-05-14,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,Frequent visitor to the area.,Zeeshan
OBS0060,Aythya fuligula,Tufted Duck,2025-05-02,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/eb/Tufted-Duck-male-female.jpg,Frequent visitor to the area.,Rabia
OBS0061,Canis aureus,Golden Jackal,2025-05-15,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,Flock moving in coordinated pattern.,Manahil
OBS0062,Lutra lutra,Eurasian Otter,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,Spotted during early morning hike.,Shitba
OBS0063,Milvus migrans,Black Kite,2025-05-16,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,Noticed in canopy while birdwatching.,Ali
OBS0064,Panthera pardus,Common Leopard,2025-05-15,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Seen basking in sun near rocks.,Sara
OBS0065,Macaca mulatta,Rhesus Macaque,2025-05-10,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,Frequent visitor to the area.,Ahmed
OBS0066,Phoenicurus ochruros,Black Redstart,2025-05-09,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,Flock moving in coordinated pattern.,Zainab
OBS0067,Axis axis,Chital Deer,2025-05-09,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Flock moving in coordinated pattern.,Omar
OBS0068,Buceros bicornis,Great Hornbill,2025-05-12,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,Seen basking in sun near rocks.,Fatima
OBS0069,Dendrocygna javanica,Lesser Whistling Duck,2025-05-09,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,Flock moving in coordinated pattern.,Farhan
OBS0070,Gyps bengalensis,White-rumped Vulture,2025-05-09,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Noticed in canopy while birdwatching.,Aisha
OBS0071,Francolinus pondicerianus,Grey Francolin,2025-05-11,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,Spotted during early morning hike.,Bilal
OBS0072,Lutra lutra,Eurasian Otter,2025-05-09,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,Heard distinctive call before visual.,Hina
OBS0073,Axis axis,Chital Deer,2025-05-07,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Noticed in canopy while birdwatching.,Kashif
OBS0074,Hystrix indica,Indian Crested Porcupine,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Seen basking in sun near rocks.,Nida
OBS0075,Gyps bengalensis,White-rumped Vulture,2025-05-05,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Flock moving in coordinated pattern.,Usman
OBS0076,Naja naja,Indian Cobra,2025-05-08,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,Observed with juvenile(s) nearby.,Sana
OBS0077,Lutra lutra,Eurasian Otter,2025-05-13,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,Noticed in canopy while birdwatching.,Tariq
OBS0078,Ovis vignei,Urial,2025-05-07,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/d/da/Ovis_vignei_bochariensis.jpg,Seen basking in sun near rocks.,Nadia
OBS0079,Panthera pardus,Common Leopard,2025-05-04,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Observed feeding near water source.,Zeeshan
OBS0080,Naja naja,Indian Cobra,2025-05-04,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,Spotted during early morning hike.,Rabia
OBS0081,Axis axis,Chital Deer,2025-05-15,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Seen basking in sun near rocks.,Manahil
OBS0082,Manis crassicaudata,Indian Pangolin,2025-05-12,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Rare sighting for this time of year.,Shitba
OBS0083,Alcedo atthis,Common Kingfisher,2025-05-06,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,Observed with juvenile(s) nearby.,Ali
OBS0084,Francolinus pondicerianus,Grey Francolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,Spotted during early morning hike.,Sara
OBS0085,Manis crassicaudata,Indian Pangolin,2025-05-03,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Flock moving in coordinated pattern.,Ahmed
OBS0086,Columba livia,Rock Pigeon,2025-05-02,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/8/86/Columba_livia_domestica_66335414.png,Observed feeding near water source.,Zainab
OBS0087,Strix aluco,Tawny Owl,2025-05-10,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/2/2d/Tawny_Owl.jpg,Spotted during early morning hike.,Omar
OBS0088,Dendrocygna javanica,Lesser Whistling Duck,2025-05-16,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,Rare sighting for this time of year.,Fatima
OBS0089,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-06,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/5/53/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29_2.jpg,Noticed in canopy while birdwatching.,Farhan
OBS0090,Panthera pardus,Common Leopard,2025-05-02,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Rare sighting for this time of year.,Aisha
OBS0091,Phoenicurus ochruros,Black Redstart,2025-05-02,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,Seen basking in sun near rocks.,Bilal
OBS0092,Felis chaus,Jungle Cat,2025-05-03,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,Rare sighting for this time of year.,Hina
OBS0093,Manis crassicaudata,Indian Pangolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Unusual behavior noted—possibly nesting.,Kashif
OBS0094,Hirundo rustica,Barn Swallow,2025-05-05,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,Rare sighting for this time of year.,Nida
OBS0095,Paradoxurus hermaphroditus,Asian Palm Civet,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/c/ce/Asian_Palm_Civet_Over_A_Tree.jpg,Spotted during early morning hike.,Usman
OBS0096,Hystrix indica,Indian Crested Porcupine,2025-05-11,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Flock moving in coordinated pattern.,Sana
OBS0097,Varanus bengalensis,Bengal Monitor,2025-05-02,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/2/26/Bengal_monitor_%28Varanus_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Flock moving in coordinated pattern.,Tariq
OBS0098,Alcedo atthis,Common Kingfisher,2025-05-13,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,Noticed in canopy while birdwatching.,Nadia
OBS0099,Francolinus pondicerianus,Grey Francolin,2025-05-06,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,Unusual behavior noted—possibly nesting.,Zeeshan
OBS0100,Gyps bengalensis,White-rumped Vulture,2025-05-11,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Flock moving in coordinated pattern.,Rabia
OBS0101,Manis crassicaudata,Indian Pangolin,2025-05-08,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Rare sighting for this time of year.,Manahil
OBS0102,Aquila rapax,Tawny Eagle,2025-05-15,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Rare sighting for this time of year.,Shitba
OBS0103,Herpestes edwardsii,Indian Grey Mongoose,2025-05-16,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,Noticed in canopy while birdwatching.,Ali
OBS0104,Macaca mulatta,Rhesus Macaque,2025-05-09,Daman-e-Koh,/images/rhesus_macaque.jpg,Observed feeding near water source.,Sara
OBS0105,Dendrocygna javanica,Lesser Whistling Duck,2025-05-07,Shakarparian Hills,/images/lesser_whistling_duck.jpg,Flock moving in coordinated pattern.,Ahmed
OBS0106,Hirundo rustica,Barn Swallow,2025-05-02,Zoo vicinity,/images/barn_swallow.jpg,Frequent visitor to the area.,Zainab
OBS0107,Panthera pardus,Common Leopard,2025-05-11,Pir Sohawa,/images/common_leopard.jpg,Rare sighting for this time of year.,Omar
OBS0108,Aquila rapax,Tawny Eagle,2025-05-03,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Observed with juvenile(s) nearby.,Fatima
OBS0109,Phoenicurus ochruros,Black Redstart,2025-05-07,Islamabad University Forest Area,/images/black_redstart.jpg,Observed with juvenile(s) nearby.,Farhan
OBS0110,Hystrix indica,Indian Crested Porcupine,2025-05-14,Shah Allah Ditta Caves,/images/indian_crested_porcupine.jpg,Flock moving in coordinated pattern.,Aisha
OBS0111,Canis aureus,Golden Jackal,2025-05-10,"Trail 4, Margalla Hills",/images/golden_jackal.jpg,Noticed in canopy while birdwatching.,Bilal
OBS0112,Phoenicurus ochruros,Black Redstart,2025-05-10,Saidpur Village,/images/black_redstart.jpg,Spotted during early morning hike.,Hina
OBS0113,Tragelaphus scriptus,Bushbuck,2025-05-01,Islamabad University Forest Area,/images/bushbuck.jpg,Heard distinctive call before visual.,Kashif
OBS0114,Dendrocygna javanica,Lesser Whistling Duck,2025-05-02,Rawal Dam,/images/lesser_whistling_duck.jpg,Noticed in canopy while birdwatching.,Nida
OBS0115,Tragelaphus scriptus,Bushbuck,2025-05-06,Faisal Mosque,/images/bushbuck.jpg,Unusual behavior noted—possibly nesting.,Usman
OBS0116,Naja naja,Indian Cobra,2025-05-13,"Trail 2, Margalla Hills",/images/indian_cobra.jpg,Spotted during early morning hike.,Sana
OBS0117,Francolinus pondicerianus,Grey Francolin,2025-05-02,Saidpur Village,/images/grey_francolin.jpg,Heard distinctive call before visual.,Tariq
OBS0118,Macaca mulatta,Rhesus Macaque,2025-05-10,Rawal Dam,/images/rhesus_macaque.jpg,Heard distinctive call before visual.,Nadia
OBS0119,Felis chaus,Jungle Cat,2025-05-11,Shakarparian Hills,/images/jungle_cat.jpg,Frequent visitor to the area.,Zeeshan
OBS0120,Naja naja,Indian Cobra,2025-05-06,Shakarparian Hills,/images/indian_cobra.jpg,Noticed in canopy while birdwatching.,Rabia
OBS0121,Hirundo rustica,Barn Swallow,2025-05-01,Daman-e-Koh,/images/barn_swallow.jpg,Observed with juvenile(s) nearby.,Manahil
OBS0122,Herpestes edwardsii,Indian Grey Mongoose,2025-05-09,"Trail 1, Margalla Hills",/images/indian_grey_mongoose.jpg,Noticed in canopy while birdwatching.,Shitba
OBS0123,Paradoxurus hermaphroditus,Asian Palm Civet,2025-05-07,Rawal Lake,/images/asian_palm_civet.jpg,Seen basking in sun near rocks.,Ali
OBS0124,Dendrocygna javanica,Lesser Whistling Duck,2025-05-07,Zoo vicinity,/images/lesser_whistling_duck.jpg,Unusual behavior noted—possibly nesting.,Sara
OBS0125,Hirundo rustica,Barn Swallow,2025-05-08,Daman-e-Koh,/images/barn_swallow.jpg,Observed with juvenile(s) nearby.,Ahmed
OBS0126,Francolinus pondicerianus,Grey Francolin,2025-05-05,"Trail 2, Margalla Hills",/images/grey_francolin.jpg,Noticed in canopy while birdwatching.,Zainab
OBS0127,Ovis vignei,Urial,2025-05-14,Rawal Dam,/images/urial.jpg,Seen basking in sun near rocks.,Omar
OBS0128,Aquila rapax,Tawny Eagle,2025-05-09,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Spotted during early morning hike.,Fatima
