observation_id,species_name,common_name,date_observed,location,image_url,notes
OBS0032,Macaca mulatta,Rhesus Macaque,2025-05-16,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,"Seen basking in sun near rocks."
OBS0033,Phoenicurus ochruros,Black Redstart,2025-05-13,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,"Seen basking in sun near rocks."
OBS0034,Columba livia,Rock Pigeon,2025-05-06,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/8/86/Columba_livia_domestica_66335414.png,"Flock moving in coordinated pattern."
OBS0035,Hystrix indica,Indian Crested Porcupine,2025-05-15,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Spotted during early morning hike."
OBS0036,Panthera pardus,Common Leopard,2025-05-02,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Observed feeding near water source."
OBS0037,Herpestes edwardsii,Indian Grey Mongoose,2025-05-11,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,"Observed feeding near water source."
OBS0038,Buceros bicornis,Great Hornbill,2025-05-11,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,"Noticed in canopy while birdwatching."
OBS0039,Dendrocygna javanica,Lesser Whistling Duck,2025-05-06,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,"Rare sighting for this time of year."
OBS0040,Canis aureus,Golden Jackal,2025-05-13,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,"Rare sighting for this time of year."
OBS0041,Lutra lutra,Eurasian Otter,2025-05-14,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,"Frequent visitor to the area."
OBS0042,Milvus migrans,Black Kite,2025-05-04,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,"Observed with juvenile(s) nearby."
OBS0043,Hirundo rustica,Barn Swallow,2025-05-13,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,"Heard distinctive call before visual."
OBS0044,Milvus migrans,Black Kite,2025-05-03,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,"Heard distinctive call before visual."
OBS0045,Herpestes edwardsii,Indian Grey Mongoose,2025-05-15,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,"Rare sighting for this time of year."
OBS0046,Ceryle rudis,Pied Kingfisher,2025-05-08,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/15/Ceryle_rudis_238646426.jpg,"Rare sighting for this time of year."
OBS0047,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-10,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/5/53/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29_2.jpg,"Frequent visitor to the area."
OBS0048,Axis axis,Chital Deer,2025-05-12,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Frequent visitor to the area."
OBS0049,Panthera pardus,Common Leopard,2025-05-11,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Observed feeding near water source."
OBS0050,Aquila rapax,Tawny Eagle,2025-05-13,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,"Rare sighting for this time of year."
OBS0051,Panthera pardus,Common Leopard,2025-05-15,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Seen basking in sun near rocks."
OBS0052,Axis axis,Chital Deer,2025-05-05,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Rare sighting for this time of year."
OBS0053,Herpestes edwardsii,Indian Grey Mongoose,2025-05-02,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,"Observed feeding near water source."
OBS0054,Strix aluco,Tawny Owl,2025-05-11,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/2/2d/Tawny_Owl.jpg,"Rare sighting for this time of year."
OBS0055,Phoenicurus ochruros,Black Redstart,2025-05-10,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,"Frequent visitor to the area."
OBS0056,Psittacula krameri,Rose-ringed Parakeet,2025-05-14,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/1f/Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg,"Seen basking in sun near rocks."
OBS0057,Hystrix indica,Indian Crested Porcupine,2025-05-10,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Spotted during early morning hike."
OBS0058,Francolinus pondicerianus,Grey Francolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,"Observed feeding near water source."
OBS0059,Felis chaus,Jungle Cat,2025-05-14,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,"Frequent visitor to the area."
OBS0060,Aythya fuligula,Tufted Duck,2025-05-02,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/eb/Tufted-Duck-male-female.jpg,"Frequent visitor to the area."
OBS0061,Canis aureus,Golden Jackal,2025-05-15,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,"Flock moving in coordinated pattern."
OBS0062,Lutra lutra,Eurasian Otter,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,"Spotted during early morning hike."
OBS0063,Milvus migrans,Black Kite,2025-05-16,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,"Noticed in canopy while birdwatching."
OBS0064,Panthera pardus,Common Leopard,2025-05-15,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Seen basking in sun near rocks."
OBS0065,Macaca mulatta,Rhesus Macaque,2025-05-10,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,"Frequent visitor to the area."
OBS0066,Phoenicurus ochruros,Black Redstart,2025-05-09,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,"Flock moving in coordinated pattern."
OBS0067,Axis axis,Chital Deer,2025-05-09,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Flock moving in coordinated pattern."
OBS0068,Buceros bicornis,Great Hornbill,2025-05-12,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,"Seen basking in sun near rocks."
OBS0069,Dendrocygna javanica,Lesser Whistling Duck,2025-05-09,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,"Flock moving in coordinated pattern."
OBS0070,Gyps bengalensis,White-rumped Vulture,2025-05-09,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Noticed in canopy while birdwatching."
OBS0071,Francolinus pondicerianus,Grey Francolin,2025-05-11,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,"Spotted during early morning hike."
OBS0072,Lutra lutra,Eurasian Otter,2025-05-09,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,"Heard distinctive call before visual."
OBS0073,Axis axis,Chital Deer,2025-05-07,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Noticed in canopy while birdwatching."
OBS0074,Hystrix indica,Indian Crested Porcupine,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Seen basking in sun near rocks."
OBS0075,Gyps bengalensis,White-rumped Vulture,2025-05-05,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Flock moving in coordinated pattern."
OBS0076,Naja naja,Indian Cobra,2025-05-08,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,"Observed with juvenile(s) nearby."
OBS0077,Lutra lutra,Eurasian Otter,2025-05-13,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,"Noticed in canopy while birdwatching."
OBS0078,Ovis vignei,Urial,2025-05-07,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/d/da/Ovis_vignei_bochariensis.jpg,"Seen basking in sun near rocks."
OBS0079,Panthera pardus,Common Leopard,2025-05-04,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Observed feeding near water source."
OBS0080,Naja naja,Indian Cobra,2025-05-04,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,"Spotted during early morning hike."
OBS0081,Axis axis,Chital Deer,2025-05-15,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Seen basking in sun near rocks."
OBS0082,Manis crassicaudata,Indian Pangolin,2025-05-12,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Rare sighting for this time of year."
OBS0083,Alcedo atthis,Common Kingfisher,2025-05-06,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,"Observed with juvenile(s) nearby."
OBS0084,Francolinus pondicerianus,Grey Francolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,"Spotted during early morning hike."
OBS0085,Manis crassicaudata,Indian Pangolin,2025-05-03,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Flock moving in coordinated pattern."
OBS0086,Columba livia,Rock Pigeon,2025-05-02,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/8/86/Columba_livia_domestica_66335414.png,"Observed feeding near water source."
OBS0087,Strix aluco,Tawny Owl,2025-05-10,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/2/2d/Tawny_Owl.jpg,"Spotted during early morning hike."
OBS0088,Dendrocygna javanica,Lesser Whistling Duck,2025-05-16,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,"Rare sighting for this time of year."
OBS0089,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-06,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/5/53/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29_2.jpg,"Noticed in canopy while birdwatching."
OBS0090,Panthera pardus,Common Leopard,2025-05-02,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,"Rare sighting for this time of year."
OBS0091,Phoenicurus ochruros,Black Redstart,2025-05-02,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,"Seen basking in sun near rocks."
OBS0092,Felis chaus,Jungle Cat,2025-05-03,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,"Rare sighting for this time of year."
OBS0093,Manis crassicaudata,Indian Pangolin,2025-05-09,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Unusual behavior noted—possibly nesting."
OBS0094,Hirundo rustica,Barn Swallow,2025-05-05,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,"Rare sighting for this time of year."
OBS0095,Paradoxurus hermaphroditus,Asian Palm Civet,2025-05-16,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/c/ce/Asian_Palm_Civet_Over_A_Tree.jpg,"Spotted during early morning hike."
OBS0096,Hystrix indica,Indian Crested Porcupine,2025-05-11,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Flock moving in coordinated pattern."
OBS0097,Varanus bengalensis,Bengal Monitor,2025-05-02,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/2/26/Bengal_monitor_%28Varanus_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Flock moving in coordinated pattern."
OBS0098,Alcedo atthis,Common Kingfisher,2025-05-13,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,"Noticed in canopy while birdwatching."
OBS0099,Francolinus pondicerianus,Grey Francolin,2025-05-06,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,"Unusual behavior noted—possibly nesting."
OBS0100,Gyps bengalensis,White-rumped Vulture,2025-05-11,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Flock moving in coordinated pattern."
OBS0101,Manis crassicaudata,Indian Pangolin,2025-05-08,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Rare sighting for this time of year."
OBS0102,Aquila rapax,Tawny Eagle,2025-05-15,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,"Rare sighting for this time of year."
OBS0103,Herpestes edwardsii,Indian Grey Mongoose,2025-05-16,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,"Noticed in canopy while birdwatching."
OBS0104,Macaca mulatta,Rhesus Macaque,2025-05-09,Daman-e-Koh,/images/rhesus_macaque.jpg,Observed feeding near water source.
OBS0105,Dendrocygna javanica,Lesser Whistling Duck,2025-05-07,Shakarparian Hills,/images/lesser_whistling_duck.jpg,Flock moving in coordinated pattern.
OBS0106,Hirundo rustica,Barn Swallow,2025-05-02,Zoo vicinity,/images/barn_swallow.jpg,Frequent visitor to the area.
OBS0107,Panthera pardus,Common Leopard,2025-05-11,Pir Sohawa,/images/common_leopard.jpg,Rare sighting for this time of year.
OBS0108,Aquila rapax,Tawny Eagle,2025-05-03,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Observed with juvenile(s) nearby.
OBS0109,Phoenicurus ochruros,Black Redstart,2025-05-07,Islamabad University Forest Area,/images/black_redstart.jpg,Observed with juvenile(s) nearby.
OBS0110,Hystrix indica,Indian Crested Porcupine,2025-05-14,Shah Allah Ditta Caves,/images/indian_crested_porcupine.jpg,Flock moving in coordinated pattern.
OBS0111,Canis aureus,Golden Jackal,2025-05-10,"Trail 4, Margalla Hills",/images/golden_jackal.jpg,Noticed in canopy while birdwatching.
OBS0112,Phoenicurus ochruros,Black Redstart,2025-05-10,Saidpur Village,/images/black_redstart.jpg,Spotted during early morning hike.
OBS0113,Tragelaphus scriptus,Bushbuck,2025-05-01,Islamabad University Forest Area,/images/bushbuck.jpg,Heard distinctive call before visual.
OBS0114,Dendrocygna javanica,Lesser Whistling Duck,2025-05-02,Rawal Dam,/images/lesser_whistling_duck.jpg,Noticed in canopy while birdwatching.
OBS0115,Tragelaphus scriptus,Bushbuck,2025-05-06,Faisal Mosque,/images/bushbuck.jpg,Unusual behavior noted—possibly nesting.
OBS0116,Naja naja,Indian Cobra,2025-05-13,"Trail 2, Margalla Hills",/images/indian_cobra.jpg,Spotted during early morning hike.
OBS0117,Francolinus pondicerianus,Grey Francolin,2025-05-02,Saidpur Village,/images/grey_francolin.jpg,Heard distinctive call before visual.
OBS0118,Macaca mulatta,Rhesus Macaque,2025-05-10,Rawal Dam,/images/rhesus_macaque.jpg,Heard distinctive call before visual.
OBS0119,Felis chaus,Jungle Cat,2025-05-11,Shakarparian Hills,/images/jungle_cat.jpg,Frequent visitor to the area.
OBS0120,Naja naja,Indian Cobra,2025-05-06,Shakarparian Hills,/images/indian_cobra.jpg,Noticed in canopy while birdwatching.
OBS0121,Hirundo rustica,Barn Swallow,2025-05-01,Daman-e-Koh,/images/barn_swallow.jpg,Observed with juvenile(s) nearby.
OBS0122,Herpestes edwardsii,Indian Grey Mongoose,2025-05-09,"Trail 1, Margalla Hills",/images/indian_grey_mongoose.jpg,Noticed in canopy while birdwatching.
OBS0123,Paradoxurus hermaphroditus,Asian Palm Civet,2025-05-07,Rawal Lake,/images/asian_palm_civet.jpg,Seen basking in sun near rocks.
OBS0124,Dendrocygna javanica,Lesser Whistling Duck,2025-05-07,Zoo vicinity,/images/lesser_whistling_duck.jpg,Unusual behavior noted—possibly nesting.
OBS0125,Hirundo rustica,Barn Swallow,2025-05-08,Daman-e-Koh,/images/barn_swallow.jpg,Observed with juvenile(s) nearby.
OBS0126,Francolinus pondicerianus,Grey Francolin,2025-05-05,"Trail 2, Margalla Hills",/images/grey_francolin.jpg,Noticed in canopy while birdwatching.
OBS0127,Ovis vignei,Urial,2025-05-14,Rawal Dam,/images/urial.jpg,Seen basking in sun near rocks.
OBS0128,Aquila rapax,Tawny Eagle,2025-05-09,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Spotted during early morning hike.
OBS0129,Axis axis,Chital Deer,2025-05-11,Shah Allah Ditta Caves,/images/chital_deer.jpg,Heard distinctive call before visual.
OBS0130,Buceros bicornis,Great Hornbill,2025-05-02,Shah Allah Ditta Caves,/images/great_hornbill.jpg,Observed with juvenile(s) nearby.
OBS0131,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-11,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/9/99/Haliaeetus_leucoryphus_-captive_-India-8a.jpg,Rare sighting for this time of year.
OBS0132,Macaca mulatta,Rhesus Macaque,2025-05-01,"Trail 4, Margalla Hills",/images/rhesus_macaque.jpg,Rare sighting for this time of year.
OBS0133,Herpestes edwardsii,Indian Grey Mongoose,2025-05-01,Shah Allah Ditta Caves,/images/indian_grey_mongoose.jpg,Observed with juvenile(s) nearby.
OBS0134,Milvus migrans,Black Kite,2025-05-03,"Trail 4, Margalla Hills",/images/black_kite.jpg,Unusual behavior noted—possibly nesting.
OBS0135,Axis axis,Chital Deer,2025-05-15,Rawal Lake,/images/chital_deer.jpg,Flock moving in coordinated pattern.
OBS0136,Manis crassicaudata,Indian Pangolin,2025-05-13,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Spotted during early morning hike.
OBS0137,Gyps bengalensis,White-rumped Vulture,2025-05-01,Islamabad University Forest Area,/images/white-rumped_vulture.jpg,Heard distinctive call before visual.
OBS0138,Buceros bicornis,Great Hornbill,2025-05-16,Rawal Lake,/images/great_hornbill.jpg,Heard distinctive call before visual.
OBS0139,Ovis vignei,Urial,2025-05-09,Shah Allah Ditta Caves,/images/urial.jpg,Unusual behavior noted—possibly nesting.
